NAME,QTY,PRICE (INR),TOTAL PRICE (INR),TOTAL (USD),LINK
3d printer heatbed 220x220mm ,1,850,850,9.19,https://novo3d.in/3d-printer-heatbed-220x220mm/
Glass plate,1,180,180,1.95,https://novo3d.in/glass-plate/
MK8 HOT end,1,700,700,7.57,https://novo3d.in/cr10-hotend-kit/
0.4mm nozzel,1,200,200,2.16,https://novo3d.in/ender-3-v3-se-hardened-steel-nozzle/
NEMA17 Stepper Motor ,5,573.42,2867.1,31,https://robokits.co.in/motors/stepper-motor/stepper-motor-without-gearbox/nema17-high-torque-stepper-motor?products_id=138:013d407166ec4fa56eb1e1f8cbe183b9
Mk8 extruder,1,300,300,3.24,https://novo3d.in/mk8-extruder/
PSU 24v 15A,1,2000,2000,21.62,https://robokits.co.in/power-supply/industrial-power-supply/industrial-power-supply-s-24v-14.5a-350w-premium
LCD Disply,1,800,800,8.65,https://robocraze.com/products/3d-printer-128x64-smart-lcd-display-controller?variant=40192882704537&country=IN&currency=INR
Hot end Cooling fan ,2,80,160,1.73,https://novo3d.in/cooling-fan-6015/
Blower Fan ,2,90,180,1.95,https://novo3d.in/blower-cooling-fan-4020/
5 mm to 8mm coupler ,2,112,224,2.42,https://novo3d.in/flexible-coupling-5x8mm/
GT2 belt 600cm ,1,115,115,1.24,https://novo3d.in/gt2-6mm-belt/
raspbery pi 4GB,1,9278,9278,100.3,https://robu.in/product/raspberry-pi-5-model-4gb/
HGR15 Linear Rail 15mm 400mm,3,870,2610,28.22,https://novo3d.in/hgr15-linear-rail/
SKR MINI E3 Motherboard V3.,1,3700,3700,40,https://novo3d.in/skr-mini-e3/
2020 v rail,17,289,4913,53.11,https://roboticsdna.in/product/aluminium-extrusion-2020-t-slot-500mm/
tap tool,1,460,460,4.97,https://www.amazon.in/NityaEcommerce-M3-M12-Handle-Reamer-Wrench/dp/B0FWXY5MJL/ref=asc_df_B0FWXY5MJL?mcid=ace6c1f09ce833f7829433c4397a0fc3&tag=googleshopdes-21&linkCode=df0&hvadid=724457143901&hvpos=&hvnetw=g&hvrand=12840056088589922790&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9186025&hvtargid=pla-2521983935277&psc=1&gad_source=1
caliper Tool,1,380,380,4.11,https://www.amazon.in/SKADIOO-Plastic-Vernier-Electronic-Micrometer/dp/B0DKNFNS4F/ref=pd_sbs_d_sccl_1_1/521-9015852-2637941?pd_rd_w=MgX2F&content-id=amzn1.sym.d1406b44-aa69-47e4-9270-f613e12d52dc&pf_rd_p=d1406b44-aa69-47e4-9270-f613e12d52dc&pf_rd_r=NKK3M126JASBCAAR7YC0&pd_rd_wg=DOVkT&pd_rd_r=68e05d85-b7bd-48f9-bfbd-c2f159aa6c73&pd_rd_i=B0DKNFNS4F&psc=1#averageCustomerReviewsAnchor
Square Tool,1,160,160,1.73,https://www.flipkart.com/ziodic-engineer-steel-carpenter-try-square-tool-l-shape-ruler-10-inch-tri-square/p/itm0446945d3e395
Total,,,30077.1,325.16,
NOTE - THE Price might be decrease ,,,,,
